,PLAYER_ID,PLAYER_NAME,G,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS
464,1630194,Paul Reed,32,82,32,0,44,15,14
466,1630202,Payton Pritchard,63,112,33,1,19,23,18
468,1630173,Precious Achiuwa,64,513,67,4,287,44,89
469,1629656,Quentin Grimes,44,146,61,0,2,23,1
471,1630181,R.J. Hampton,56,199,69,2,24,27,3
472,1629628,RJ Barrett,62,416,61,2,20,55,20
474,200765,Rajon Rondo,35,88,51,0,32,17,5
475,203526,Raul Neto,63,250,87,4,26,40,14
477,203493,Reggie Bullock,59,191,78,0,30,28,20
478,202704,Reggie Jackson,69,391,78,7,40,41,20
480,1626158,Richaun Holmes,45,294,45,1,382,24,81
481,201937,Ricky Rubio,34,96,77,3,21,33,9
483,203496,Robert Covington,63,388,206,2,157,39,46
484,1629057,Robert Williams III,60,664,92,0,411,67,119
486,201577,Robin Lopez,29,201,6,1,137,7,75
487,203918,Rodney Hood,47,92,28,2,17,3,11
488,203585,Rodney McGruder,45,80,43,0,8,15,14
489,1629641,Romeo Langford,45,142,28,4,22,14,12
490,1626220,Royce O'Neale,69,300,125,0,219,36,48
491,200752,Rudy Gay,49,192,57,0,68,24,31
492,203497,Rudy Gobert,58,757,78,2,913,26,200
493,1629060,Rui Hachimura,32,141,29,0,34,14,18
494,201566,Russell Westbrook,72,260,132,9,44,57,51
496,1630240,Saben Lee,34,87,53,1,8,17,4
497,1630180,Saddiq Bey,73,284,119,2,27,56,79
501,1630572,Sandro Mamukelashvili,36,99,13,0,43,8,16
502,1630583,Santi Aldama,28,81,12,0,17,3,13
503,1630567,Scottie Barnes,65,598,161,3,174,45,99
507,1628400,Semi Ojeleye,29,90,10,2,11,10,21
508,201586,Serge Ibaka,51,364,25,0,227,15,100
509,203552,Seth Curry,58,187,104,3,34,47,21
510,1628983,Shai Gilgeous-Alexander,56,413,150,0,25,45,10
511,1629003,Shake Milton,45,142,38,3,40,14,11
515,1630219,Skylar Mays,25,36,19,1,7,3,0
517,203915,Spencer Dinwiddie,59,238,65,3,56,43,32
518,1626169,Stanley Johnson,39,199,76,0,126,12,53
519,201939,Stephen Curry,64,286,140,7,157,68,26
520,1628425,Sterling Brown,48,86,35,0,20,12,41
521,203500,Steven Adams,70,641,110,2,833,59,271
522,1629004,Svi Mykhailiuk,53,106,45,0,21,16,3
523,204456,T.J. McConnell,24,68,65,1,5,19,8
525,201959,Taj Gibson,46,237,49,4,271,17,127
526,1629659,Talen Horton-Tucker,52,273,95,1,29,25,26
527,1627752,Taurean Prince,62,182,77,10,27,15,27
528,1629611,Terance Mann,73,258,100,1,50,36,43
529,1629056,Terence Davis,30,98,40,0,13,13,7
530,203082,Terrence Ross,60,164,64,0,23,21,12
531,1626179,Terry Rozier,64,256,130,4,40,50,14
532,1630678,Terry Taylor,25,118,12,1,80,12,53
533,201152,Thaddeus Young,43,196,59,10,148,25,46
534,203648,Thanasis Antetokounmpo,43,102,42,1,61,6,13
535,1630177,Theo Maledon,46,144,38,0,10,16,7
537,1628418,Thomas Bryant,22,152,8,1,115,5,30
539,203501,Tim Hardaway Jr.,42,159,55,4,34,18,14
540,1627789,Timothe Luwawu-Cabarrot,44,88,27,1,7,11,18
541,202699,Tobias Harris,63,350,76,0,126,30,84
542,203107,Tomas Satoransky,45,109,50,1,21,18,7
543,1628396,Tony Bradley,51,254,11,0,196,15,73
544,203503,Tony Snell,49,197,37,0,27,15,23
545,1628470,Torrey Craig,70,367,65,1,57,29,51
546,1629027,Trae Young,67,135,111,6,26,57,8
548,1630200,Tre Jones,60,149,66,1,8,28,12
549,1630544,Tre Mann,59,201,69,1,8,21,10
551,1630570,Trendon Watford,46,207,46,1,172,19,38
552,1630235,Trent Forrest,56,130,46,0,28,17,10
555,2772,Trevor Ariza,22,50,29,1,32,6,9
556,203504,Trey Burke,38,38,23,2,12,8,3
557,1626168,Trey Lyles,67,354,61,7,206,25,107
558,1630530,Trey Murphy III,53,144,34,0,13,16,8
559,202684,Tristan Thompson,48,216,30,0,286,23,115
560,1628972,Troy Brown Jr.,61,237,38,1,23,23,32
561,1629660,Ty Jerome,48,95,62,2,25,11,15
564,1629639,Tyler Herro,59,283,70,1,23,56,20
567,1630169,Tyrese Haliburton,69,313,190,0,35,55,9
568,1630178,Tyrese Maxey,65,372,91,1,38,41,25
570,1626145,Tyus Jones,67,125,86,1,20,27,10
576,1630249,Vit Krejci,21,78,18,0,0,6,3
578,201961,Wayne Ellington,40,108,39,0,7,16,14
580,1628976,Wendell Carter Jr.,61,467,68,1,507,33,110
583,202083,Wesley Matthews,42,147,65,2,28,13,41
584,203115,Will Barton,64,292,91,0,15,25,3
586,1626195,Willy Hernangomez,44,238,37,0,244,19,68
589,1630214,Xavier Tillman,46,163,54,0,136,22,40
590,1629139,Yuta Watanabe,34,119,18,1,9,13,13
593,203897,Zach LaVine,60,349,62,1,57,39,24
594,1630192,Zeke Nnaji,40,144,30,0,93,16,49
595,1630533,Ziaire Williams,54,244,51,0,13,14,14
