,NAME,ORPM,DRPM,RPM,WINS,PLAYER_ID
38,Kevin Love,3.40,-3.81,-0.41,5.17,201567
28,Russell Westbrook,-0.52,3.18,2.67,12.24,201566
3,Derrick Rose,0.60,-3.23,-2.63,0.96,201565
6,Thaddeus Young,-0.52,-2.77,-3.28,0.73,201152
7,Jeff Green,-1.82,2.40,0.58,5.65,201145
12,Mike Conley,0.29,5.41,5.71,12.04,201144
13,Al Horford,-1.08,6.47,5.39,12.02,201143
17,Kevin Durant,3.81,1.40,5.21,11.32,201142
35,Paul Millsap,-0.99,-2.98,-3.97,0.17,200794
15,P.J. Tucker,-3.63,5.53,1.90,7.45,200782
11,Kyle Lowry,0.54,3.05,3.59,10.40,200768
4,Rajon Rondo,-1.01,-4.33,-5.34,-0.47,200765
8,Rudy Gay,0.37,-3.06,-2.69,1.46,200752
35,LaMarcus Aldridge,0.04,-1.95,-1.91,2.05,200746
31,Lou Williams,-0.58,-3.02,-3.60,0.54,101150
6,Chris Paul,1.71,4.84,6.55,14.12,101108
