,PLAYER_ID,PLAYER_NAME,GP,NBA_FANTASY_PTS,AVG_FANTASY_PTS,USG_PCT,HUSTLE_POINTS,RPM,WINS,PER,CAREER_TOTAL_FANTASY_PTS,cum_id,ID_MATCH
150,1629308,Juan Toscano-Anderson,70,795.0,11.36,0.146,914.31,-2.92,1.14,11.34,1804.4,1629308,True
151,1629234,Drew Eubanks,64,1018.8,15.92,0.166,916.53,-2.26,1.69,17.21,2068.8,1629234,True
152,1629216,Gabe Vincent,63,1126.8,17.89,0.176,1246.46,0.37,4.89,10.77,1521.5,1629216,True
153,1629185,Chris Chiozza,34,214.7,6.31,0.132,158.5,-8.32,-1.09,4.96,793.9,1629185,True
154,1629164,Brandon Goodwin,31,406.5,13.11,0.173,463.44,-2.98,0.48,13.34,1250.3,1629164,True
155,1629162,Jordan McLaughlin,56,682.3,12.18,0.119,764.6,-2.38,1.40,13.10,1881.7,1629162,True
156,1629139,Yuta Watanabe,35,338.3,9.67,0.161,329.53,-3.37,0.40,11.59,1023.8,1629139,True
157,1629130,Duncan Robinson,73,1321.3,18.1,0.175,1081.57,5.09,11.39,10.46,4286.5,1629130,True
158,1629111,Jock Landale,49,493.5,10.07,0.174,334.2,-1.49,1.34,16.97,470.5,1629111,True
159,1629109,Gary Clark,34,248.0,7.29,0.107,213.09,-5.06,-0.17,10.75,1315.2,1629109,True
160,1629103,Kelan Martin,30,320.5,10.68,0.18,265.02,-4.00,0.18,9.56,957.3,1629103,True
161,1629060,Rui Hachimura,34,589.8,17.35,0.201,414.84,-3.69,0.44,14.69,3053.5,1629060,True
162,1629057,Robert Williams III,61,2001.1,32.8,0.112,1886.7,5.16,11.29,22.24,3728.5,1629057,True
163,1629056,Terence Davis,30,558.8,18.63,0.244,394.38,0.74,2.24,14.75,2448.0,1629056,True
164,1629052,Oshae Brissett,62,1153.0,18.6,0.161,985.95,-3.21,1.33,12.54,1628.7,1629052,True
165,1629048,Goga Bitadze,47,710.4,15.11,0.191,674.92,-0.24,1.95,17.99,1640.6,1629048,True
166,1629029,Luka Doncic,58,3025.0,52.16,0.364,1350.82,6.28,15.37,24.23,12106.6,1629029,True
167,1629028,Deandre Ayton,54,1842.9,34.13,0.216,1259.67,3.32,7.95,22.56,7686.3,1629028,True
168,1629027,Trae Young,69,3194.7,46.3,0.329,1379.58,6.42,17.30,25.28,11302.4,1629027,True
169,1629026,Kenrich Williams,49,905.0,18.47,0.153,907.53,-2.26,1.94,13.45,3277.6,1629026,True
170,1629023,P.J. Washington,59,1415.4,23.99,0.156,1214.68,-0.41,4.77,13.65,4417.2,1629023,True
171,1629022,Lonnie Walker IV,65,1303.5,20.05,0.233,796.53,-3.24,1.56,12.31,3076.7,1629022,True
172,1629021,Moritz Wagner,57,869.6,15.26,0.228,770.33,0.33,3.21,19.11,2566.6,1629021,True
173,1629020,Jarred Vanderbilt,68,1657.8,24.38,0.108,1888.54,0.83,6.35,15.84,2679.3,1629020,True
174,1629018,Gary Trent Jr.,63,1862.8,29.57,0.213,1778.41,3.02,10.48,14.63,3933.4,1629018,True
175,1629014,Anfernee Simons,57,1493.7,26.21,0.244,691.81,-0.18,5.32,15.48,3289.2,1629014,True
176,1629013,Landry Shamet,62,846.9,13.66,0.157,669.07,-2.14,2.32,10.48,3583.6,1629013,True
177,1629011,Mitchell Robinson,69,1826.0,26.46,0.111,1793.68,4.17,9.81,20.68,5268.6,1629011,True
